LINEUPS,NETRTG,,,
G. Harris - M. Fultz,-2.9,,,
K. Looney - D. DiVincenzo,3.8,,,
K. Lowry - J. Butler,2.8,,,
K. Johnson - J. Sochan,-9.5,,,
I. Zubac - T. Mann,-4.7,,,
M. Conley - J. Clarkson,0,,,
R. Jackson - I. Zubac,-2,,,
L. Markkanen - W. Kessler,5.6,,,
E. Gordon - J. Smith Jr.,-7.9,,,
B. Bogdanovic - O. Okongwu,5.4,,,
T. Young - O. Okongwu,3.4,,,
D. Brooks - D. Bane,7.7,,,
G. Niang - S. Milton,2,,,
K. Hayes - J. Duren,-8.1,,,
K. Lowry - M. Strus,-2.1,,,
B. Lopez - B. Portis,3.7,,,
N. Vucevic - C. White,2.5,,,
P. Tucker - T. Maxey,5.6,,,
P. Washington - J. McDaniels,-8.2,,,
T. Haliburton - A. Nesmith,5.3,,,
K. Kuzma - D. Gafford,-0.2,,,
D. Booker - T. Craig,1.4,,,
J. Poeltl - K. Johnson,-8.2,,,
R. Bullock - C. Wood,-6,,,
M. Morris - C. Kispert,-1.1,,,
D. Green - A. Wiggins,8,,,
S. Dinwiddie - D. Finney-Smith,-1.9,,,
E. Gordon - A. Sengun,-4.4,,,
S. Adams - J. Morant,7.2,,,
R. Bullock - D. Powell,6.1,,,
T. Jones - D. Brooks,-0.5,,,
J. Holiday - B. Portis,4.5,,,
G. Antetokounmpo - J. Carter,6.8,,,
J. Clarkson - J. Vanderbilt,-1.4,,,
C. White - P. Williams,1.4,,,
T. Lyles - M. Monk,2.2,,,
B. Bogdanovic - S. Bey,-6.8,,,
B. Beal - M. Morris,6.4,,,
J. Harris - N. Claxton,1.6,,,
M. Morris - D. Avdija,0.5,,,
K. Oubre Jr. - T. Rozier,-6,,,
C. Anthony - F. Wagner,4.2,,,
L. James - A. Davis,5.3,,,
G. Harris - W. Carter Jr.,-0.8,,,
S. Bey - J. Ivey,-14.3,,,
B. Bogdanovic - D. Murray,-3.9,,,
D. Lillard - J. Nurkic,2.7,,,
J. Brown - M. Brogdon,1.5,,,
Z. LaVine - C. White,1.8,,,
B. Ingram - T. Murphy III,3.1,,,
I. Hartenstein - R. Barrett,0.5,,,
J. Poole - J. Kuminga,2.5,,,
D. Booker - M. Bridges,7,,,
S. Curry - J. Poole,0.7,,,
D. Sabonis - M. Monk,0.6,,,
T. Jones - D. Bane,4.8,,,
J. Morant - S. Aldama,3.1,,,
D. DeRozan - C. White,8.3,,,
D. Lillard - D. Eubanks,3,,,
G. Allen - J. Carter,7.8,,,
L. Markkanen - J. Vanderbilt,3.7,,,
J. Poeltl - T. Jones,-7.3,,,
B. Portis - J. Carter,-2.4,,,
J. Grant - D. Eubanks,1.9,,,
J. Clarkson - W. Kessler,2.7,,,
K. Durant - N. Claxton,7.2,,,
C. Osman - E. Mobley,8.7,,,
E. Gordon - J. Green,-11.8,,,
O. Okongwu - A. Griffin,2.2,,,
T. Haliburton - B. Mathurin,0.5,,,
T. Rozier - J. McDaniels,-3.2,,,
A. Davis - D. Schroder,6.7,,,
G. Antetokounmpo - P. Connaughton,5.4,,,
D. Gafford - C. Kispert,-2.9,,,
J. Jackson Jr. - J. Morant,14.5,,,
D. Melton - T. Maxey,1,,,
S. Curry - A. Wiggins,7.7,,,
J. Green - T. Eason,0.1,,,
L. James - P. Beverley,-1.2,,,
B. Bogdanovic - J. Duren,-10.2,,,
B. Lopez - P. Connaughton,7,,,
C. White - A. Dosunmu,-0.2,,,
G. Vincent - T. Herro,5.6,,,
J. Randle - I. Hartenstein,2.9,,,
D. Brooks - S. Aldama,0.6,,,
S. Adams - D. Brooks,11.7,,,
J. Morant - D. Bane,14.1,,,
C. Osman - C. LeVert,6.2,,,
D. Schroder - T. Brown Jr.,3.1,,,
N. Batum - N. Powell,-2.3,,,
K. Hayes - I. Stewart,-11.1,,,
M. Robinson - I. Quickley,8.5,,,
S. Dinwiddie - C. Wood,-2.8,,,
H. Barnes - D. Mitchell,2.1,,,
T. Rozier - L. Ball,-6.7,,,
T. Jones - J. Sochan,-7.1,,,
O. Toppin - I. Quickley,3.9,,,
D. Hunter - O. Okongwu,-2.7,,,
B. Beal - D. Avdija,1.9,,,
J. Valanciunas - N. Marshall,-2.3,,,
M. Turner - B. Mathurin,-0.7,,,
R. Bullock - J. Green,1.9,,,
J. Holiday - P. Connaughton,8.1,,,
N. Reid - A. Edwards,-0.9,,,
R. O'Neale - B. Simmons,1.9,,,
T. Hardaway Jr. - D. Powell,6.1,,,
P. George - R. Jackson,4.3,,,
G. Niang - T. Maxey,0.9,,,
A. Nesmith - B. Mathurin,-8.9,,,
K. Durant - K. Irving,4.5,,,
H. Barnes - M. Monk,5.1,,,
