LINEUPS,NETRTG,,,
I. Thomas - R. Hachimura,19,,,
J. Brown - S. Ojeleye,43,,,
T. Maker - B. Brown,44,,,
T. Young - W. Carter Jr.,42,,,
B. Ingram - N. Melli,45,,,
D. Favors - Z. Williamson,24,,,
D. Jones - K. Huerter,41,,,
E. Bledsoe - P. Connaughton,53,,,
D. Lee - K. Bowman,31,,,
T. Lyles - D. White,52,,,
D. Jones - C. Reddish,42,,,
E. Gordon - B. McLemore,33,,,
G. Dieng - S. Napier,31,,,
G. Temple - T. Luwawu-Cabarrot,30,,,
K. Korver - D. DiVincenzo,49,,,
A. Baynes - M. Bridges,40,,,
A. Nader - S. Gilgeous-Alexander,46,,,
C. LeVert - T. Luwawu-Cabarrot,30,,,
S. Adams - D. Bazley,47,,,
C. Joseph - K. Bazemore,25,,,
Z. LaVine - L. Kornet,29,,,
V. Carter - D. Hunter,49,,,
B. Fernando - T. Young,49,,,
G. Allen - J. Morant,34,,,
I. Mahinmi - I. Smith,34,,,
D. Lee - J. Poole,37,,,
E. Payton - B. Portis,45,,,
J. Valanciunas - S. Hill,44,,,
A. Bradley - K. Kuzma,40,,,
K. Middleton - P. Connaughton,48,,,
M. Dellavedova - C. Sexton,44,,,
M. Harkless - L. Shamet,32,,,
M. Morris Sr. - I. Zubac,19,,,
N. Bjelica - H. Giles III,37,,,
R. Hollis-Jefferson - O. Anunoby,45,,,
E. Mudiay - D. Mitchell,45,,,
G. Robinson III - J. Poole,32,,,
J. Carter - C. Johnson,42,,,
S. Curry - D. Powell,36,,,
T. Snell - T. Maker,39,,,
W. Barton - M. Plumlee,47,,,
W. Cauley-Stein - D. Lee,25,,,
M. Morris - S. Mykhailiuk,34,,,
R. Covington - T. Graham,27,,,
D. Saric - J. Carter,40,,,
L. Galloway - S. Doumbouya,32,,,
W. Barton - T. Craig,34,,,
K. Oubre Jr. - C. Johnson,39,,,
S. Mykhailiuk - S. Doumbouya,30,,,
E. Moore - J. Hayes,42,,,
E. Mudiay - G. Niang,45,,,
G. Dragic - J. Crowder,18,,,
M. Hezonja - G. Trent Jr.,38,,,
R. Rubio - F. Kaminsky,30,,,
J. Parker - C. Reddish,29,,,
K. Towns - T. Graham,22,,,
E. Kanter - K. Walker,41,,,
D. Valentine - C. White,32,,,
R. Neto - F. Korkmaz,43,,,
B. Portis - D. Smith Jr.,33,,,
D. Saric - C. Johnson,42,,,
E. Ilyasova - B. Lopez,54,,,
J. Redick - N. Melli,41,,,
A. Tolliver - D. Lillard,28,,,
D. Fox - H. Giles III,33,,,
G. Hayward - E. Kanter,38,,,
J. Parker - D. Jones,28,,,
K. Birch - J. Isaac,20,,,
P. George - L. Shamet,29,,,
T. Hardaway Jr. - J. Jackson,52,,,
V. Oladipo - T. Warren,14,,,
L. Williams - I. Zubac,64,,,
W. Chandler - T. Luwawu-Cabarrot,27,,,
C. Martin - P. Washington,34,,,
D. Bertans - I. Thomas,33,,,
R. Rondo - A. Caruso,37,,,
S. Napier - J. Okogie,35,,,
C. Joseph - D. Fox,42,,,
P. McCaw - F. VanVleet,22,,,
S. Hill - K. Anderson,40,,,
F. Kaminsky - M. Bridges,37,,,
J. Crowder - B. Adebayo,20,,,
J. Teague - T. Graham,29,,,
P. Connaughton - S. Brown,44,,,
B. Griffin - L. Kennard,14,,,
M. Dellavedova - C. Osman,49,,,
P. Mills - D. Murray,58,,,
V. Carter - C. Reddish,46,,,
B. Fernando - K. Huerter,41,,,
E. Gordon - C. Capela,20,,,
V. Oladipo - M. Brogdon,14,,,
W. Ellington - B. Portis,32,,,
B. Ingram - K. Williams,25,,,
D. Green - M. Chriss,35,,,
M. Beasley - J. Hernangomez,14,,,
M. Beasley - J. Okogie,14,,,
M. Harrell - J. Robinson,38,,,
T. Brown Jr. - M. Wagner,38,,,
C. McCollum - S. Labissiere,33,,,
D. Bertans - J. McRae,20,,,
A. Pasecniks - T. Brown Jr.,26,,,
C. Zeller - C. Martin,35,,,
F. Jackson - N. Melli,42,,,
G. Hill - S. Brown,30,,,
G. Hill - W. Matthews,51,,,
O. Anunoby - T. Davis,51,,,
T. Sefolosha - A. Rivers,38,,,
D. Powell - D. Wright,37,,,
J. Teague - K. Bates-Diop,24,,,
T. Ariza - G. Trent Jr.,21,,,
E. Ilyasova - R. Lopez,51,,,
E. Ilyasova - E. Bledsoe,49,,,
M. Leonard - T. Herro,43,,,
M. Chriss - O. Spellman,35,,,
M. Muscala - S. Gilgeous-Alexander,36,,,
N. Batum - D. Graham,22,,,
K. Bazemore - S. Labissiere,31,,,
S. Hill - T. Jones,45,,,
J. Jackson - L. Doncic,47,,,
K. Bates-Diop - J. Culver,35,,,
M. Conley - J. Clarkson,25,,,
B. Hield - H. Giles III,41,,,
L. Williams - P. Patterson,41,,,
T. Snell - S. Doumbouya,27,,,
A. Drummond - S. Doumbouya,18,,,
I. Thomas - I. Bonga,28,,,
D. Rose - T. Maker,38,,,
J. Poeltl - B. Forbes,52,,,
D. Mitchell - T. Bradley,41,,,
G. Robinson III - O. Spellman,44,,,
M. Belinelli - D. DeRozan,45,,,
M. Scott - R. Neto,46,,,
T. Gibson - R. Bullock,25,,,
J. Embiid - S. Milton,22,,,
N. Batum - T. Rozier,22,,,
B. Wanamaker - D. Theis,56,,,
J. Richardson - M. Thybulle,45,,,
T. Ariza - N. Bjelica,32,,,
D. Green - A. Caruso,50,,,
D. Powell - M. Kleber,35,,,
M. Monk - C. Martin,31,,,
R. Hollis-Jefferson - P. McCaw,31,,,
E. Ilyasova - W. Matthews,51,,,
J. Lamb - A. Holiday,26,,,
J. Valanciunas - B. Clarke,49,,,
K. Lowry - C. Boucher,42,,,
T. Ariza - R. Holmes,27,,,
E. Okobo - C. Johnson,41,,,
L. Aldridge - M. Belinelli,44,,,
P. George - J. Green,39,,,
R. Lopez - S. Brown,41,,,
T. Satoransky - D. Gafford,38,,,
B. Biyombo - M. Monk,44,,,
B. Griffin - B. Brown,16,,,
T. Luwawu-Cabarrot - R. Kurucs,35,,,
J. Okogie - N. Reid,26,,,
T. Maker - S. Mykhailiuk,45,,,
A. Len - K. Huerter,30,,,
B. Bogdanovic - E. Mudiay,38,,,
C. Zeller - D. Bacon,28,,,
G. Dieng - J. Okogie,44,,,
S. Napier - R. Hachimura,20,,,
J. Hayes - N. Alexander-Walker,39,,,
L. Nance Jr. - A. McKinnie,24,,,
D. Augustin - W. Iwundu,30,,,
T. Ross - J. Isaac,31,,,
D. Jones - D. Bembry,33,,,
D. Dedmon - B. Bogdanovic,26,,,
D. Lillard - N. Little,33,,,
E. Fournier - W. Iwundu,36,,,
G. Allen - B. Clarke,32,,,
T. Young - L. Kornet,31,,,
S. Napier - K. Towns,20,,,
A. Iguodala - G. Dragic,19,,,
C. LeVert - R. Kurucs,25,,,
D. Smith Jr. - M. Robinson,30,,,
E. Mudiay - R. O'Neale,49,,,
J. Randle - D. Dotson,40,,,
I. Smith - A. Pasecniks,23,,,
J. McRae - T. Brown Jr.,22,,,
M. Belinelli - D. Murray,46,,,
J. Murray - M. Morris,38,,,
F. Kaminsky - C. Johnson,35,,,
K. Irving - S. Dinwiddie,20,,,
P. Mills - T. Lyles,52,,,
R. Lopez - K. Middleton,52,,,
T. McConnell - M. Turner,57,,,
C. Joseph - H. Giles III,39,,,
J. McLaughlin - J. Culver,28,,,
M. Wagner - R. Hachimura,43,,,
R. Lopez - G. Antetokounmpo,55,,,
T. Satoransky - L. Kornet,30,,,
D. Rose - S. Doumbouya,22,,,
D. Smith Jr. - K. Knox II,33,,,
G. Temple - R. Kurucs,29,,,
J. Holiday - E. Sumner,27,,,
K. Oubre Jr. - E. Okobo,37,,,
M. Williams - C. Zeller,36,,,
P. Patterson - K. Leonard,32,,,
K. Williams - J. Hayes,31,,,
T. Ferguson - D. Bazley,40,,,
D. Schroder - L. Dort,29,,,
H. Whiteside - M. Hezonja,38,,,
J. Teague - J. Culver,31,,,
T. Harris - R. Neto,39,,,
W. Ellington - K. Knox II,31,,,
J. Hernangomez - J. Okogie,14,,,
M. Plumlee - J. Murray,51,,,
D. McDermott - G. Bitadze,49,,,
K. Birch - W. Iwundu,38,,,
N. Noel - A. Nader,47,,,
C. Diallo - M. Bridges,37,,,
D. Bertans - I. Bonga,40,,,
D. Rose - L. Kennard,22,,,
F. Jackson - J. Hayes,44,,,
B. Fernando - C. Reddish,44,,,
G. Harris - T. Craig,34,,,
J. Hart - K. Williams,28,,,
L. Ball - F. Jackson,43,,,
Z. LaVine - D. Gafford,34,,,
C. Wood - T. Maker,40,,,
J. Henson - L. Nance Jr.,24,,,
J. Teague - J. Collins,25,,,
T. Thompson - M. Dellavedova,44,,,
Z. LaVine - C. Hutchison,24,,,
C. Hutchison - C. White,26,,,
J. Crowder - S. Hill,38,,,
J. Layman - J. Culver,23,,,
D. McDermott - M. Brogdon,51,,,
D. Russell - M. Chriss,29,,,
J. Green - A. Rivers,18,,,
J. Okogie - J. McLaughlin,28,,,
P. Patterson - I. Zubac,33,,,
T. Thompson - J. Clarkson,28,,,
C. Osman - K. Porter Jr.,33,,,
K. Korver - E. Bledsoe,46,,,
M. Morris - C. Wood,28,,,
G. Hayward - S. Ojeleye,40,,,
F. Jackson - N. Alexander-Walker,35,,,
K. Korver - E. Ilyasova,50,,,
T. Johnson - M. Bridges,30,,,
J. Holiday - G. Bitadze,50,,,
D. Howard - Q. Cook,34,,,
K. Irving - C. LeVert,18,,,
P. Beverley - J. Green,39,,,
S. Hill - D. Melton,36,,,
Z. LaVine - C. Felicio,19,,,
D. Powell - J. Brunson,35,,,
I. Mahinmi - T. Brown Jr.,34,,,
K. Korver - K. Middleton,47,,,
M. Scott - J. Ennis III,43,,,
W. Ellington - M. Robinson,28,,,
B. Beal - S. Napier,15,,,
J. Hart - N. Alexander-Walker,37,,,
G. Allen - D. Melton,31,,,
J. Clarkson - E. Mudiay,24,,,
J. Hernangomez - M. Morris,30,,,
J. Richardson - S. Milton,19,,,
T. Ariza - D. Fox,21,,,
J. Valanciunas - G. Allen,35,,,
D. Russell - J. Poole,24,,,
D. Russell - M. Beasley,12,,,
R. Neto - J. Embiid,27,,,
S. Harrison - C. White,34,,,
T. Brown Jr. - J. Robinson,21,,,
T. Young - L. Markkanen,38,,,
A. Wiggins - D. Lee,12,,,
D. Russell - J. Hernangomez,12,,,
J. Green - E. Mudiay,27,,,
K. Bazemore - M. Hezonja,29,,,
N. Powell - P. McCaw,19,,,
S. Adams - H. Diallo,34,,,
A. Len - D. Bembry,32,,,
F. Ntilikina - D. Dotson,35,,,
A. Drummond - C. Wood,28,,,
B. Griffin - T. Snell,15,,,
D. Russell - J. Okogie,12,,,
J. Lamb - D. McDermott,45,,,
J. Teague - K. Huerter,24,,,
L. Williams - J. Robinson,31,,,
K. Bates-Diop - J. Okogie,33,,,
L. Kornet - C. White,33,,,
T. Johnson - K. Oubre Jr.,31,,,
J. Parker - K. Huerter,21,,,
A. Crabbe - T. Young,25,,,
B. Wanamaker - J. Green,42,,,
D. Lee - O. Spellman,32,,,
H. Barnes - K. Bazemore,25,,,
N. Noel - H. Diallo,33,,,
M. Dellavedova - J. Clarkson,27,,,
E. Moore - F. Jackson,36,,,
H. Barnes - Y. Ferrell,34,,,
W. Chandler - J. Harris,32,,,
Z. LaVine - R. Arcidiacono,44,,,
D. Bembry - C. Reddish,39,,,
K. Martin - J. Culver,27,,,
N. Noel - L. Dort,31,,,
A. McKinnie - D. Garland,29,,,
D. Dedmon - B. Hield,32,,,
D. Dedmon - D. Fox,20,,,
D. Finney-Smith - J. Jackson,47,,,
D. Lillard - S. Labissiere,30,,,
E. Kanter - G. Williams,37,,,
S. Ojeleye - D. Theis,47,,,
T. McConnell - G. Bitadze,43,,,
A. Tolliver - A. Simons,31,,,
B. Ingram - F. Jackson,38,,,
J. Henson - K. Porter Jr.,23,,,
J. Okafor - J. Hart,29,,,
N. Alexander-Walker - N. Melli,33,,,
P. McCaw - C. Boucher,31,,,
P. Siakam - C. Boucher,36,,,
R. Arcidiacono - W. Carter Jr.,34,,,
D. Brooks - G. Allen,34,,,
D. Howard - T. Daniels,35,,,
K. Korver - B. Lopez,51,,,
S. Milton - M. Thybulle,31,,,
V. Carter - D. Bembry,34,,,
C. Paul - M. Muscala,35,,,
R. McGruder - L. Shamet,36,,,
S. Hill - J. Jackson Jr.,40,,,
F. VanVleet - C. Boucher,36,,,
R. Rubio - J. Carter,39,,,
C. Felicio - C. White,21,,,
J. Carter - D. Ayton,32,,,
J. Carter - E. Okobo,38,,,
T. Graham - J. Culver,28,,,
D. Howard - A. Bradley,45,,,
D. Jordan - R. Kurucs,24,,,
D. Lillard - Z. Collins,11,,,
B. Hield - Y. Ferrell,35,,,
J. Green - J. Robinson,29,,,
S. Hill - G. Allen,28,,,
W. Cauley-Stein - K. Bowman,27,,,
D. Augustin - K. Birch,25,,,
M. Muscala - D. Bazley,39,,,
M. Scott - S. Milton,29,,,
P. McCaw - P. Siakam,24,,,
P. Millsap - T. Craig,31,,,
B. Simmons - S. Milton,19,,,
V. Oladipo - D. Sabonis,13,,,
W. Iwundu - M. Bamba,33,,,
D. Russell - O. Spellman,29,,,
J. Hart - Z. Williamson,24,,,
J. Okafor - L. Ball,24,,,
E. Fournier - J. Ennis III,13,,,
M. Beasley - J. Hernangomez,28,,,
R. Neto - J. Richardson,29,,,
G. Allen - J. Jackson Jr.,31,,,
J. Ennis III - F. Korkmaz,38,,,
N. Vucevic - M. Carter-Williams,39,,,
R. Gobert - G. Niang,52,,,
A. Aminu - T. Ross,15,,,
A. Baynes - C. Johnson,32,,,
C. McCollum - Z. Collins,11,,,
D. Bembry - K. Huerter,31,,,
A. Iguodala - J. Crowder,19,,,
D. Augustin - M. Fultz,40,,,
D. Smith Jr. - D. Dotson,25,,,
T. McConnell - E. Sumner,27,,,
T. Young - C. Hutchison,25,,,
A. Iguodala - D. Robinson,21,,,
M. Monk - D. Bacon,34,,,
N. Bjelica - D. Dedmon,29,,,
N. Vucevic - K. Birch,18,,,
W. Cauley-Stein - J. Poole,28,,,
A. Wiggins - M. Chriss,11,,,
B. Bogdanovic - Y. Ferrell,30,,,
K. Love - J. Clarkson,25,,,
P. Beverley - P. Patterson,29,,,
T. Johnson - F. Kaminsky,22,,,
C. Boucher - M. Thomas,31,,,
C. Diallo - E. Okobo,38,,,
E. Fournier - M. Bamba,41,,,
K. Dunn - R. Arcidiacono,26,,,
M. Harkless - J. Randle,12,,,
B. Griffin - L. Galloway,18,,,
G. Antetokounmpo - S. Brown,31,,,
K. Dunn - L. Kornet,25,,,
I. Mahinmi - D. Bertans,25,,,
J. Redick - E. Moore,36,,,
N. Jokic - M. Beasley,34,,,
D. Augustin - A. Aminu,17,,,
H. Whiteside - N. Little,38,,,
K. Walker - B. Wanamaker,45,,,
L. Aldridge - L. Walker IV,34,,,
T. Craig - M. Porter Jr.,28,,,
T. Young - C. Felicio,21,,,
A. McKinnie - C. Sexton,36,,,
I. Mahinmi - G. Payton II,21,,,
M. Beasley - M. Porter Jr.,27,,,
V. Oladipo - A. Holiday,11,,,
J. Holiday - J. Okafor,22,,,
R. Bullock - M. Robinson,28,,,
T. Daniels - K. Kuzma,33,,,
T. Satoransky - C. Hutchison,23,,,
T. Young - D. Valentine,26,,,
W. Barton - M. Porter Jr.,32,,,
D. McDermott - E. Sumner,25,,,
M. Plumlee - T. Craig,40,,,
R. Bullock - R. Barrett,18,,,
A. Bradley - K. Caldwell-Pope,44,,,
J. Hayes - N. Melli,38,,,
J. Murray - M. Porter Jr.,35,,,
M. Muscala - H. Diallo,34,,,
D. Murray - D. White,37,,,
K. Williams - N. Alexander-Walker,27,,,
N. Bjelica - K. Bazemore,24,,,
N. Powell - C. Boucher,35,,,
C. Wood - S. Doumbouya,32,,,
D. Augustin - J. Ennis III,18,,,
D. Favors - E. Moore,35,,,
G. Dragic - M. Leonard,37,,,
J. Henson - D. Garland,24,,,
J. Holiday - J. Sampson,26,,,
M. Williams - M. Bridges,38,,,
C. McCollum - J. Nurkic,8,,,
J. Okafor - B. Ingram,23,,,
K. Oubre Jr. - J. Carter,34,,,
M. Williams - C. Martin,25,,,
R. Lopez - E. Bledsoe,47,,,
S. Brown - D. DiVincenzo,42,,,
A. McKinnie - K. Porter Jr.,26,,,
M. Plumlee - J. Hernangomez,23,,,
R. Bullock - B. Portis,25,,,
T. Johnson - C. Johnson,25,,,
T. Jones - M. Guduric,32,,,
W. Ellington - F. Ntilikina,28,,,
B. Hield - M. Bagley III,13,,,
D. Green - J. Poole,29,,,
J. Ennis III - M. Fultz,18,,,
M. Harkless - R. Barrett,12,,,
D. Lillard - J. Nurkic,8,,,
F. Kaminsky - J. Carter,26,,,
J. Holiday - F. Jackson,36,,,
P. Patterson - R. McGruder,32,,,
J. Robinson - R. Hachimura,19,,,
M. Plumlee - G. Harris,44,,,
S. Napier - J. Robinson,18,,,
A. Wiggins - K. Bates-Diop,28,,,
B. McLemore - R. Covington,20,,,
D. Exum - L. Nance Jr.,21,,,
J. Layman - J. Okogie,20,,,
K. Bazemore - D. Fox,24,,,
M. Wagner - I. Bonga,35,,,
R. Neto - M. Thybulle,37,,,
T. Herro - C. Silva,33,,,
T. Johnson - D. Booker,27,,,
A. Rivers - R. Covington,22,,,
D. Valentine - R. Arcidiacono,31,,,
E. Ilyasova - S. Brown,33,,,
G. Dragic - J. Johnson,15,,,
M. Beasley - N. Reid,14,,,
M. Belinelli - L. Walker IV,34,,,
M. Morris Sr. - D. Dotson,29,,,
M. Morris Sr. - R. Bullock,12,,,
P. Millsap - M. Morris,37,,,
T. Warren - J. Sampson,23,,,
D. Booker - C. Diallo,29,,,
D. McDermott - M. Turner,51,,,
D. Wright - B. Marjanovic,31,,,
J. Grant - J. Hernangomez,23,,,
J. Tatum - R. Williams III,27,,,
M. Conley - T. Bradley,28,,,
M. Leonard - D. Jones Jr.,28,,,
S. Napier - T. Brown Jr.,19,,,
A. Drummond - T. Frazier,20,,,
K. Caldwell-Pope - Q. Cook,27,,,
M. Morris Sr. - L. Shamet,17,,,
P. Patterson - M. Harrell,36,,,
A. Wiggins - E. Paschall,12,,,
J. Evans - E. Paschall,22,,,
M. Conley - G. Niang,35,,,
T. Ross - G. Clark,22,,,
W. Barton - M. Beasley,32,,,
C. Diallo - J. Carter,38,,,
B. Wanamaker - C. Edwards,33,,,
J. Clarkson - C. Osman,26,,,
J. Culver - N. Reid,28,,,
J. Ennis III - A. Gordon,15,,,
J. Lamb - T. McConnell,32,,,
M. Hezonja - S. Labissiere,22,,,
M. Williams - B. Biyombo,30,,,
C. McCollum - N. Little,35,,,
F. Korkmaz - S. Milton,30,,,
R. Arcidiacono - D. Gafford,35,,,
V. Carter - J. Teague,24,,,
A. Iguodala - K. Olynyk,18,,,
B. Biyombo - C. Martin,32,,,
E. Payton - K. Knox II,37,,,
J. Teague - G. Dieng,27,,,
K. Porzingis - J. Jackson,40,,,
M. Williams - N. Batum,19,,,
R. Jackson - T. Snell,12,,,
T. Jones - G. Allen,29,,,
W. Hernangomez - C. Martin,25,,,
Z. Williamson - N. Melli,21,,,
R. McGruder - J. Robinson,28,,,
S. Hill - B. Clarke,34,,,
H. Barnes - M. Bagley III,13,,,
J. Randle - D. Smith Jr.,34,,,
J. Winslow - T. Herro,11,,,
Q. Cook - A. Caruso,29,,,
Q. Cook - K. Kuzma,33,,,
T. Satoransky - O. Porter Jr.,13,,,
A. Len - J. Parker,31,,,
I. Mahinmi - R. Hachimura,15,,,
I. Thomas - G. Payton II,19,,,
J. Johnson - M. Beasley,14,,,
E. Mudiay - T. Bradley,38,,,
G. Payton II - T. Brown Jr.,25,,,
J. Crowder - D. Melton,28,,,
J. Robinson - M. Wagner,20,,,
T. Sefolosha - B. McLemore,33,,,
A. Crabbe - D. Bembry,26,,,
A. Nader - T. Ferguson,31,,,
R. Rondo - A. Bradley,29,,,
T. Jones - J. Jackson,18,,,
A. Holiday - G. Bitadze,41,,,
R. Jackson - C. Wood,12,,,
J. Barea - D. Finney-Smith,20,,,
J. McGee - K. Kuzma,25,,,
J. Teague - C. Reddish,19,,,
A. Tolliver - K. Bazemore,28,,,
B. Marjanovic - J. Jackson,31,,,
B. Wanamaker - R. Langford,30,,,
D. Bembry - B. Fernando,35,,,
D. Jordan - T. Pinson,19,,,
J. Allen - R. Kurucs,23,,,
J. Green - B. McLemore,17,,,
A. Len - A. Crabbe,25,,,
J. Crowder - K. Nunn,17,,,
R. Hollis-Jefferson - M. Thomas,26,,,
A. Burks - J. Evans,23,,,
J. Ennis III - J. Richardson,33,,,
J. Ennis III - M. Thybulle,30,,,
K. Anderson - M. Guduric,25,,,
M. Smart - R. Williams III,26,,,
W. Hernangomez - M. Bridges,27,,,
C. Anthony - M. Hezonja,29,,,
E. Moore - K. Williams,20,,,
T. Brown Jr. - A. Schofield,28,,,
A. Burks - T. Harris,17,,,
D. Russell - N. Reid,12,,,
J. Ennis III - J. Embiid,32,,,
M. Harkless - J. Green,28,,,
V. Carter - J. Collins,36,,,
D. Ayton - E. Okobo,27,,,
D. Theis - G. Williams,42,,,
E. Moore - N. Alexander-Walker,26,,,
J. Hernangomez - N. Reid,14,,,
L. Ball - K. Williams,25,,,
S. Napier - M. Wagner,20,,,
G. Temple - K. Irving,16,,,
R. Lopez - W. Matthews,38,,,
W. Matthews - P. Connaughton,46,,,
C. Joseph - D. Dedmon,33,,,
S. Ojeleye - G. Williams,38,,,
T. Satoransky - S. Harrison,25,,,
B. Lopez - S. Brown,37,,,
J. Butler - J. Crowder,13,,,
K. Dunn - D. Gafford,26,,,
O. Anunoby - C. Boucher,39,,,
S. Hill - M. Guduric,27,,,
T. Luwawu-Cabarrot - J. Allen,30,,,
A. Bradley - A. Caruso,35,,,
B. Clarke - M. Guduric,25,,,
N. Batum - M. Bridges,21,,,
N. Batum - M. Monk,20,,,
S. Dinwiddie - D. Musa,22,,,
V. Carter - D. Jones,43,,,
C. Diallo - C. Johnson,24,,,
J. Green - R. Covington,18,,,
K. Bazemore - B. Bogdanovic,25,,,
K. Korver - S. Brown,35,,,
T. Daniels - A. Caruso,29,,,
B. Wanamaker - R. Williams III,26,,,
D. Powell - J. Jackson,33,,,
M. Scott - T. Burke,24,,,
P. Connaughton - D. Wilson,31,,,
W. Ellington - J. Randle,30,,,
D. Sabonis - E. Sumner,20,,,
J. Brunson - L. Doncic,27,,,
J. Collins - B. Fernando,25,,,
K. Bazemore - H. Giles III,23,,,
N. Batum - B. Biyombo,20,,,
A. Nader - H. Diallo,26,,,
D. Bertans - S. Napier,14,,,
G. Dieng - K. Bates-Diop,29,,,
N. Batum - P. Washington,20,,,
A. Davis - Q. Cook,22,,,
A. Tolliver - G. Trent Jr.,22,,,
B. Forbes - L. Walker IV,42,,,
J. Winslow - B. Adebayo,11,,,
M. Williams - D. Bacon,26,,,
O. Porter Jr. - Z. LaVine,9,,,
V. Carter - A. Len,30,,,
D. Saric - E. Okobo,35,,,
G. Trent Jr. - N. Little,33,,,
O. Porter Jr. - W. Carter Jr.,14,,,
T. Luwawu-Cabarrot - C. Chiozza,17,,,
C. Swanigan - G. Trent Jr.,18,,,
F. Jackson - K. Williams,28,,,
K. Towns - J. Layman,12,,,
R. Arcidiacono - L. Kornet,34,,,
T. Maker - S. Doumbouya,33,,,
K. Olynyk - C. Silva,25,,,
N. Bjelica - Y. Ferrell,30,,,
R. Arcidiacono - C. Hutchison,24,,,
T. Bryant - J. Robinson,15,,,
T. Frazier - S. Mykhailiuk,19,,,
D. Gallinari - H. Diallo,35,,,
D. Gallinari - M. Muscala,23,,,
R. Arcidiacono - L. Markkanen,34,,,
T. Snell - T. Frazier,20,,,
V. Carter - B. Goodwin,29,,,
B. Portis - A. Trier,22,,,
J. Barea - T. Hardaway Jr.,21,,,
J. Clarkson - C. Sexton,26,,,
S. Dinwiddie - T. Luwawu-Cabarrot,33,,,
T. Satoransky - C. Felicio,20,,,
D. Schroder - D. Burton,25,,,
J. Harris - R. Kurucs,29,,,
J. Sampson - A. Holiday,29,,,
J. Sampson - M. Brogdon,18,,,
M. Harkless - E. Payton,10,,,
C. Anthony - R. Hood,9,,,
D. Bazley - L. Dort,23,,,
D. Exum - C. Sexton,23,,,
J. Green - R. Gobert,28,,,
J. Harris - T. Luwawu-Cabarrot,26,,,
P. Dozier - M. Morris,19,,,
D. Exum - D. Garland,22,,,
O. Porter Jr. - L. Markkanen,13,,,
T. Davis - M. Thomas,31,,,
D. Jones - J. Collins,25,,,
J. Crowder - K. Olynyk,17,,,
J. Redick - F. Jackson,29,,,
R. Jackson - L. Shamet,15,,,
J. Teague - D. Hunter,22,,,
K. Huerter - B. Goodwin,28,,,
M. Chriss - J. Evans,22,,,
T. Young - S. Harrison,30,,,
D. Favors - K. Williams,16,,,
J. Collins - B. Goodwin,28,,,
J. Green - J. Harden,17,,,
K. Oubre Jr. - C. Diallo,24,,,
L. Kornet - C. Hutchison,21,,,
M. Bridges - T. Jerome,24,,,
T. Gibson - K. Knox II,34,,,
T. Prince - T. Luwawu-Cabarrot,29,,,
C. Wood - L. Kennard,24,,,
J. Green - R. O'Neale,27,,,
S. Harrison - W. Carter Jr.,19,,,
T. Sefolosha - R. Westbrook,31,,,
W. Hernangomez - D. Graham,20,,,
C. Anthony - J. Nurkic,8,,,
D. Green - K. Bowman,25,,,
J. Sampson - T. McConnell,23,,,
K. Knox II - A. Trier,21,,,
N. Vonleh - J. Okogie,23,,,
S. Dinwiddie - R. Kurucs,24,,,
T. Sefolosha - J. Harden,36,,,
A. Horford - A. Burks,17,,,
D. Dedmon - K. Huerter,10,,,
K. Anderson - G. Allen,24,,,
G. Williams - J. Green,36,,,
K. Towns - K. Bates-Diop,21,,,
R. Jackson - J. Green,17,,,
S. Ojeleye - J. Green,36,,,
A. Aminu - M. Bamba,15,,,
A. Crabbe - D. Hunter,25,,,
A. Rivers - C. Clemons,27,,,
D. Wilson - S. Brown,30,,,
E. Payton - D. Dotson,25,,,
G. Dieng - J. Jackson,14,,,
K. Olynyk - J. Winslow,10,,,
L. James - T. Daniels,27,,,
R. Jackson - B. Brown,12,,,
W. Matthews - S. Brown,31,,,
D. Fox - M. Bagley III,10,,,
D. Howard - J. Dudley,30,,,
J. Green - B. Bogdanovic,28,,,
J. Green - E. Davis,17,,,
J. Teague - T. Young,22,,,
M. Beasley - J. McLaughlin,14,,,
M. Morris Sr. - K. Knox II,25,,,
P. Beverley - M. Morris Sr.,11,,,
R. Jackson - L. Galloway,14,,,
T. Satoransky - R. Arcidiacono,33,,,
T. Thompson - A. McKinnie,25,,,
V. Carter - B. Fernando,39,,,
I. Smith - J. Robinson,16,,,
J. Barea - J. Jackson,22,,,
J. Clarkson - D. Garland,28,,,
G. Dragic - C. Silva,22,,,
J. Johnson - T. Herro,15,,,
L. Williams - M. Morris Sr.,16,,,
N. Bjelica - M. Bagley III,13,,,
A. Baynes - E. Okobo,26,,,
B. Marjanovic - L. Doncic,28,,,
E. Bledsoe - S. Brown,28,,,
G. Temple - T. Pinson,18,,,
J. Holiday - V. Oladipo,19,,,
J. Okogie - K. Martin,24,,,
P. Dozier - M. Porter Jr.,20,,,
T. Lyles - L. Walker IV,35,,,
V. Carter - A. Crabbe,20,,,
B. Beal - G. Payton II,16,,,
E. Davis - J. Ingles,25,,,
I. Mahinmi - J. McRae,15,,,
M. Dellavedova - A. McKinnie,23,,,
B. McLemore - I. Hartenstein,20,,,
D. Valentine - W. Carter Jr.,23,,,
J. Evans - O. Spellman,23,,,
J. Jackson - J. Morant,20,,,
J. Okafor - K. Williams,21,,,
M. Harkless - R. McGruder,29,,,
M. Williams - D. DiVincenzo,17,,,
R. Rondo - D. Green,36,,,
S. Napier - T. Bryant,14,,,
A. Horford - R. Neto,27,,,
